Best mrcpsp: {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 1e-05}
76.207 (+/-165.764) for {'hidden_nodes': 16, 'hidden_layers': 5, 'lr': 0.01}
72.694 (+/-86.533) for {'hidden_nodes': 16, 'hidden_layers': 5, 'lr': 0.001}
2611.838 (+/-1983.909) for {'hidden_nodes': 16, 'hidden_layers': 5, 'lr': 0.0001}
3310.089 (+/-1826.400) for {'hidden_nodes': 16, 'hidden_layers': 5, 'lr': 1e-05}
113.983 (+/-149.240) for {'hidden_nodes': 32, 'hidden_layers': 5, 'lr': 0.1}
38.320 (+/-45.558) for {'hidden_nodes': 32, 'hidden_layers': 5, 'lr': 0.01}
43.780 (+/-57.625) for {'hidden_nodes': 32, 'hidden_layers': 5, 'lr': 0.001}
1109.918 (+/-1099.325) for {'hidden_nodes': 32, 'hidden_layers': 5, 'lr': 0.0001}
3276.042 (+/-1861.164) for {'hidden_nodes': 32, 'hidden_layers': 5, 'lr': 1e-05}
231.755 (+/-572.394) for {'hidden_nodes': 64, 'hidden_layers': 5, 'lr': 0.1}
44.606 (+/-58.542) for {'hidden_nodes': 64, 'hidden_layers': 5, 'lr': 0.01}
61.558 (+/-147.867) for {'hidden_nodes': 64, 'hidden_layers': 5, 'lr': 0.001}
96.693 (+/-133.052) for {'hidden_nodes': 64, 'hidden_layers': 5, 'lr': 0.0001}
2903.794 (+/-2716.588) for {'hidden_nodes': 64, 'hidden_layers': 5, 'lr': 1e-05}
337.243 (+/-779.710) for {'hidden_nodes': 128, 'hidden_layers': 5, 'lr': 0.1}
38.597 (+/-73.375) for {'hidden_nodes': 128, 'hidden_layers': 5, 'lr': 0.01}
49.497 (+/-113.805) for {'hidden_nodes': 128, 'hidden_layers': 5, 'lr': 0.001}
99.188 (+/-211.318) for {'hidden_nodes': 128, 'hidden_layers': 5, 'lr': 0.0001}
2136.830 (+/-1621.223) for {'hidden_nodes': 128, 'hidden_layers': 5, 'lr': 1e-05}
342.640 (+/-531.265) for {'hidden_nodes': 16, 'hidden_layers': 10, 'lr': 0.1}
32.985 (+/-54.115) for {'hidden_nodes': 16, 'hidden_layers': 10, 'lr': 0.01}
43.104 (+/-57.439) for {'hidden_nodes': 16, 'hidden_layers': 10, 'lr': 0.001}
2548.396 (+/-2557.346) for {'hidden_nodes': 16, 'hidden_layers': 10, 'lr': 0.0001}
3176.216 (+/-2067.058) for {'hidden_nodes': 16, 'hidden_layers': 10, 'lr': 1e-05}
256.525 (+/-629.605) for {'hidden_nodes': 32, 'hidden_layers': 10, 'lr': 0.1}
60.096 (+/-94.600) for {'hidden_nodes': 32, 'hidden_layers': 10, 'lr': 0.01}
57.397 (+/-143.590) for {'hidden_nodes': 32, 'hidden_layers': 10, 'lr': 0.001}
298.868 (+/-866.049) for {'hidden_nodes': 32, 'hidden_layers': 10, 'lr': 0.0001}
2950.424 (+/-1965.756) for {'hidden_nodes': 32, 'hidden_layers': 10, 'lr': 1e-05}
328.620 (+/-688.567) for {'hidden_nodes': 64, 'hidden_layers': 10, 'lr': 0.1}
43.318 (+/-72.429) for {'hidden_nodes': 64, 'hidden_layers': 10, 'lr': 0.01}
65.138 (+/-162.311) for {'hidden_nodes': 64, 'hidden_layers': 10, 'lr': 0.001}
120.964 (+/-282.850) for {'hidden_nodes': 64, 'hidden_layers': 10, 'lr': 0.0001}
2449.523 (+/-2058.736) for {'hidden_nodes': 64, 'hidden_layers': 10, 'lr': 1e-05}
nan (+/-nan) for {'hidden_nodes': 128, 'hidden_layers': 10, 'lr': 0.1}
51.176 (+/-57.349) for {'hidden_nodes': 128, 'hidden_layers': 10, 'lr': 0.01}
60.575 (+/-146.865) for {'hidden_nodes': 128, 'hidden_layers': 10, 'lr': 0.001}
112.093 (+/-301.232) for {'hidden_nodes': 128, 'hidden_layers': 10, 'lr': 0.0001}
1478.994 (+/-865.872) for {'hidden_nodes': 128, 'hidden_layers': 10, 'lr': 1e-05}
